DB,2,LR ,,,0
FIL,3,LR ,,,0
TAB,5,LR ,,,0
PAG,6,LR ,,,0
KEY,7,LR ,,,0
EXT,8,LR ,,,0
RID,9,LR ,,,0
APP,10,LR ,,,0
MD,11,LR ,,,0
HBT,12,LR ,,,0
AU,13,LR ,,,0
LOCK REQ STATUS,0,LS ,,,0
GRANT,1,LS ,,,0
CNVT,2,LS ,,,0
WAIT,3,LS ,,,0
RELN,4,LS ,,,0
BLCKN,5,LS ,,,0
OBJECT TYPES,0,O  ,,,0
system table,1,O  ,,,0
view,2,O  ,,,0
user table,3,O  ,,,0
stored procedure,4,O  ,,,0
default,6,O  ,,,0
rule,7,O  ,,,0
trigger,8,O  ,,,0
replication filter stored procedure,12,O  ,,,0
AF: aggregate function,-1,O9T,0,0,0
AP: application,-1,O9T,0,0,0
C : check cns,-1,O9T,0,0,0
D : default (maybe cns),-1,O9T,0,0,0
EC: edge cns,-1,O9T,0,0,0
EN: event notification,-1,O9T,0,0,0
F : foreign key cns,-1,O9T,0,0,0
FN: scalar function,-1,O9T,0,0,0
FS: assembly scalar function,-1,O9T,0,0,0
FT: assembly table function,-1,O9T,0,0,0
IF: inline function,-1,O9T,0,0,0
IS: inline scalar function,-1,O9T,0,0,0
IT: internal table,-1,O9T,0,0,0
L : log,-1,O9T,0,0,0
P : stored procedure,-1,O9T,0,0,0
PC : assembly stored procedure,-1,O9T,0,0,0
PK: primary key cns,-1,O9T,0,0,0
R : rule,-1,O9T,0,0,0
RF: replication filter proc,-1,O9T,0,0,0
S : system table,-1,O9T,0,0,0
SN: synonym,-1,O9T,0,0,0
SO: sequence object,-1,O9T,0,0,0
SQ: queue,-1,O9T,0,0,0
TA: assembly trigger,-1,O9T,0,0,0
TF: table function,-1,O9T,0,0,0
TR: trigger,-1,O9T,0,0,0
U : user table,-1,O9T,0,0,0
UQ: unique key cns,-1,O9T,0,0,0
V : view,-1,O9T,0,0,0
X : extended stored proc,-1,O9T,0,0,0
"sysobjects.type, reports",0,O9T,0,0,0
,0,P  ,1,1,0
,1,P  ,1,2,0
,2,P  ,1,4,0
,3,P  ,1,8,0
,4,P  ,1,16,0
,5,P  ,1,32,0
,6,P  ,1,64,0
,7,P  ,1,128,0
,8,P  ,2,1,0
,9,P  ,2,2,0
,10,P  ,2,4,0
,11,P  ,2,8,0
,12,P  ,2,16,0
,13,P  ,2,32,0
,14,P  ,2,64,0
,15,P  ,2,128,0
,16,P  ,3,1,0
,17,P  ,3,2,0
,18,P  ,3,4,0
,19,P  ,3,8,0
,20,P  ,3,16,0
,21,P  ,3,32,0
,22,P  ,3,64,0
,23,P  ,3,128,0
,24,P  ,4,1,0
,25,P  ,4,2,0
,26,P  ,4,4,0
,27,P  ,4,8,0
,28,P  ,4,16,0
,29,P  ,4,32,0
,30,P  ,4,64,0
,31,P  ,4,128,0
,32,P  ,5,1,0
,33,P  ,5,2,0
,34,P  ,5,4,0
,35,P  ,5,8,0
,36,P  ,5,16,0
,37,P  ,5,32,0
,38,P  ,5,64,0
,39,P  ,5,128,0
,40,P  ,6,1,0
,41,P  ,6,2,0
,42,P  ,6,4,0
,43,P  ,6,8,0
,44,P  ,6,16,0
,45,P  ,6,32,0
,46,P  ,6,64,0
,47,P  ,6,128,0
,48,P  ,7,1,0
,49,P  ,7,2,0
,50,P  ,7,4,0
,51,P  ,7,8,0
,52,P  ,7,16,0
,53,P  ,7,32,0
,54,P  ,7,64,0
,55,P  ,7,128,0
,56,P  ,8,1,0
,57,P  ,8,2,0
,58,P  ,8,4,0
